        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
backᴾ   ,20     ,0      ,0      ,0      

forward ,0      ,20     ,0      ,0      

leftᴾ   ,0      ,0      ,20     ,0      

rightᴾ  ,0      ,19     ,0      ,1      

        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
fnr ,0.0    ,0.48717,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.24050

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,0.68333,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,0.05   

tnr ,1.0    ,1.0    ,1.0    ,0.75949

tpr ,1.0    ,0.51282,1.0    ,1.0    

recall ,1.0    ,0.51282,1.0    ,1.0    

f1score ,1.0    ,0.67796,1.0    ,0.09523

accuracy ,1.0    ,0.7625 ,1.0    ,0.7625 

precision ,1.0    ,1.0    ,1.0    ,0.05   

j-statistic ,1.0    ,0.51282,1.0    ,0.75949

sensitivity ,1.0    ,0.51282,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,0.75949

        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
backᴾ   ,25.00% ,0.00%  ,0.00%  ,0.00%  

forward ,0.00%  ,25.00% ,0.00%  ,0.00%  

leftᴾ   ,0.00%  ,0.00%  ,25.00% ,0.00%  

rightᴾ  ,0.00%  ,23.75% ,0.00%  ,1.25%  

        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
fnr ,0.0    ,0.48717,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.24050

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,0.68333,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,0.05   

tnr ,1.0    ,1.0    ,1.0    ,0.75949

tpr ,1.0    ,0.51282,1.0    ,1.0    

recall ,1.0    ,0.51282,1.0    ,1.0    

f1score ,1.0    ,0.67796,1.0    ,0.09523

accuracy ,1.0    ,0.7625 ,1.0    ,0.7625 

precision ,1.0    ,1.0    ,1.0    ,0.05   

j-statistic ,1.0    ,0.51282,1.0    ,0.75949

sensitivity ,1.0    ,0.51282,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,0.75949

