        ,go_backward,go_straight,turn_leftᴬ ,turn_rightᴬ
go_backward ,17         ,0          ,0          ,3          

go_straight ,0          ,20         ,0          ,0          

turn_leftᴾ  ,0          ,0          ,20         ,0          

turn_rightᴾ ,0          ,0          ,0          ,20         

        ,go_backward,go_straight,turn_leftᴬ ,turn_rightᴬ
fnr ,0.0        ,0.0        ,0.0        ,0.130434782

fpr ,0.047619047,0.0        ,0.0        ,0.0        

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,1.0        ,1.0        ,1.0        ,0.95       

ppv ,0.85       ,1.0        ,1.0        ,1.0        

tnr ,0.952380952,1.0        ,1.0        ,1.0        

tpr ,1.0        ,1.0        ,1.0        ,0.869565217

recall ,1.0        ,1.0        ,1.0        ,0.869565217

f1score ,0.918918918,1.0        ,1.0        ,0.930232558

accuracy ,0.9625     ,1.0        ,1.0        ,0.9625     

precision ,0.85       ,1.0        ,1.0        ,1.0        

j-statistic ,0.952380952,1.0        ,1.0        ,0.869565217

sensitivity ,1.0        ,1.0        ,1.0        ,0.869565217

specificity ,0.952380952,1.0        ,1.0        ,1.0        

        ,go_backward,go_straight,turn_leftᴬ ,turn_rightᴬ
go_backward ,21.25%     ,0.00%      ,0.00%      ,3.75%      

go_straight ,0.00%      ,25.00%     ,0.00%      ,0.00%      

turn_leftᴾ  ,0.00%      ,0.00%      ,25.00%     ,0.00%      

turn_rightᴾ ,0.00%      ,0.00%      ,0.00%      ,25.00%     

        ,go_backward,go_straight,turn_leftᴬ ,turn_rightᴬ
fnr ,0.0        ,0.0        ,0.0        ,0.130434782

fpr ,0.047619047,0.0        ,0.0        ,0.0        

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,1.0        ,1.0        ,1.0        ,0.95       

ppv ,0.85       ,1.0        ,1.0        ,1.0        

tnr ,0.952380952,1.0        ,1.0        ,1.0        

tpr ,1.0        ,1.0        ,1.0        ,0.869565217

recall ,1.0        ,1.0        ,1.0        ,0.869565217

f1score ,0.918918918,1.0        ,1.0        ,0.930232558

accuracy ,0.9625     ,1.0        ,1.0        ,0.9625     

precision ,0.85       ,1.0        ,1.0        ,1.0        

j-statistic ,0.952380952,1.0        ,1.0        ,0.869565217

sensitivity ,1.0        ,1.0        ,1.0        ,0.869565217

specificity ,0.952380952,1.0        ,1.0        ,1.0        

