        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
Backward ,15      ,0       ,5       ,0       

Forwardᴾ ,1       ,16      ,3       ,0       

Leftᴾ    ,0       ,0       ,20      ,0       

Rightᴾ   ,0       ,0       ,9       ,11      

        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
fnr ,0.0625  ,0.0     ,0.459459,0.0     

fpr ,0.078125,0.0625  ,0.0     ,0.130434

mcc ,0.793856,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,0.716666,1.0     

ppv ,0.75    ,0.8     ,1.0     ,0.55    

tnr ,0.921875,0.9375  ,1.0     ,0.869565

tpr ,0.9375  ,1.0     ,0.540540,1.0     

recall ,0.9375  ,1.0     ,0.540540,1.0     

f1score ,0.833333,0.888888,0.701754,0.709677

accuracy ,0.925   ,0.95    ,0.7875  ,0.8875  

precision ,0.75    ,0.8     ,1.0     ,0.55    

j-statistic ,0.859375,0.9375  ,0.540540,0.869565

sensitivity ,0.9375  ,1.0     ,0.540540,1.0     

specificity ,0.921875,0.9375  ,1.0     ,0.869565

        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
Backward ,18.75%  ,0.00%   ,6.25%   ,0.00%   

Forwardᴾ ,1.25%   ,20.00%  ,3.75%   ,0.00%   

Leftᴾ    ,0.00%   ,0.00%   ,25.00%  ,0.00%   

Rightᴾ   ,0.00%   ,0.00%   ,11.25%  ,13.75%  

        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
fnr ,0.0625  ,0.0     ,0.459459,0.0     

fpr ,0.078125,0.0625  ,0.0     ,0.130434

mcc ,0.793856,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,0.716666,1.0     

ppv ,0.75    ,0.8     ,1.0     ,0.55    

tnr ,0.921875,0.9375  ,1.0     ,0.869565

tpr ,0.9375  ,1.0     ,0.540540,1.0     

recall ,0.9375  ,1.0     ,0.540540,1.0     

f1score ,0.833333,0.888888,0.701754,0.709677

accuracy ,0.925   ,0.95    ,0.7875  ,0.8875  

precision ,0.75    ,0.8     ,1.0     ,0.55    

j-statistic ,0.859375,0.9375  ,0.540540,0.869565

sensitivity ,0.9375  ,1.0     ,0.540540,1.0     

specificity ,0.921875,0.9375  ,1.0     ,0.869565

