        ,P1-Backward,P1-Forwardᴬ,P1-Leftᴬ   ,P1-Rightᴬ  
P1-Backward ,16         ,0          ,0          ,4          

P1-Forwardᴾ ,0          ,20         ,0          ,0          

P1-Leftᴾ    ,0          ,0          ,20         ,0          

P1-Rightᴾ   ,0          ,0          ,0          ,20         

        ,P1-Backward,P1-Forwardᴬ,P1-Leftᴬ   ,P1-Rightᴬ  
fnr ,0.0        ,0.0        ,0.0        ,0.166666666

fpr ,0.0625     ,0.0        ,0.0        ,0.0        

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,1.0        ,1.0        ,1.0        ,0.933333333

ppv ,0.8        ,1.0        ,1.0        ,1.0        

tnr ,0.9375     ,1.0        ,1.0        ,1.0        

tpr ,1.0        ,1.0        ,1.0        ,0.833333333

recall ,1.0        ,1.0        ,1.0        ,0.833333333

f1score ,0.888888888,1.0        ,1.0        ,0.909090909

accuracy ,0.95       ,1.0        ,1.0        ,0.95       

precision ,0.8        ,1.0        ,1.0        ,1.0        

j-statistic ,0.9375     ,1.0        ,1.0        ,0.833333333

sensitivity ,1.0        ,1.0        ,1.0        ,0.833333333

specificity ,0.9375     ,1.0        ,1.0        ,1.0        

        ,P1-Backward,P1-Forwardᴬ,P1-Leftᴬ   ,P1-Rightᴬ  
P1-Backward ,20.00%     ,0.00%      ,0.00%      ,5.00%      

P1-Forwardᴾ ,0.00%      ,25.00%     ,0.00%      ,0.00%      

P1-Leftᴾ    ,0.00%      ,0.00%      ,25.00%     ,0.00%      

P1-Rightᴾ   ,0.00%      ,0.00%      ,0.00%      ,25.00%     

        ,P1-Backward,P1-Forwardᴬ,P1-Leftᴬ   ,P1-Rightᴬ  
fnr ,0.0        ,0.0        ,0.0        ,0.166666666

fpr ,0.0625     ,0.0        ,0.0        ,0.0        

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,1.0        ,1.0        ,1.0        ,0.933333333

ppv ,0.8        ,1.0        ,1.0        ,1.0        

tnr ,0.9375     ,1.0        ,1.0        ,1.0        

tpr ,1.0        ,1.0        ,1.0        ,0.833333333

recall ,1.0        ,1.0        ,1.0        ,0.833333333

f1score ,0.888888888,1.0        ,1.0        ,0.909090909

accuracy ,0.95       ,1.0        ,1.0        ,0.95       

precision ,0.8        ,1.0        ,1.0        ,1.0        

j-statistic ,0.9375     ,1.0        ,1.0        ,0.833333333

sensitivity ,1.0        ,1.0        ,1.0        ,0.833333333

specificity ,0.9375     ,1.0        ,1.0        ,1.0        

