        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,20      ,0       ,0       ,0       

forwardᴾ ,0       ,19      ,0       ,1       

leftᴾ    ,3       ,1       ,16      ,0       

rightᴾ   ,0       ,0       ,0       ,20      

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.130434,0.05    ,0.0     ,0.047619

fpr ,0.0     ,0.016666,0.0625  ,0.0     

mcc ,0.0     ,0.933333,0.0     ,0.0     

npv ,0.95    ,0.983333,1.0     ,0.983333

ppv ,1.0     ,0.95    ,0.8     ,1.0     

tnr ,1.0     ,0.983333,0.9375  ,1.0     

tpr ,0.869565,0.95    ,1.0     ,0.952380

recall ,0.869565,0.95    ,1.0     ,0.952380

f1score ,0.930232,0.95    ,0.888888,0.975609

accuracy ,0.9625  ,0.975   ,0.95    ,0.9875  

precision ,1.0     ,0.95    ,0.8     ,1.0     

j-statistic ,0.869565,0.933333,0.9375  ,0.952380

sensitivity ,0.869565,0.95    ,1.0     ,0.952380

specificity ,1.0     ,0.983333,0.9375  ,1.0     

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,25.00%  ,0.00%   ,0.00%   ,0.00%   

forwardᴾ ,0.00%   ,23.75%  ,0.00%   ,1.25%   

leftᴾ    ,3.75%   ,1.25%   ,20.00%  ,0.00%   

rightᴾ   ,0.00%   ,0.00%   ,0.00%   ,25.00%  

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.130434,0.05    ,0.0     ,0.047619

fpr ,0.0     ,0.016666,0.0625  ,0.0     

mcc ,0.0     ,0.933333,0.0     ,0.0     

npv ,0.95    ,0.983333,1.0     ,0.983333

ppv ,1.0     ,0.95    ,0.8     ,1.0     

tnr ,1.0     ,0.983333,0.9375  ,1.0     

tpr ,0.869565,0.95    ,1.0     ,0.952380

recall ,0.869565,0.95    ,1.0     ,0.952380

f1score ,0.930232,0.95    ,0.888888,0.975609

accuracy ,0.9625  ,0.975   ,0.95    ,0.9875  

precision ,1.0     ,0.95    ,0.8     ,1.0     

j-statistic ,0.869565,0.933333,0.9375  ,0.952380

sensitivity ,0.869565,0.95    ,1.0     ,0.952380

specificity ,1.0     ,0.983333,0.9375  ,1.0     

