        ,Backᴬ  ,Forward,Leftᴬ  ,Rightᴬ 
Backᴾ   ,20     ,0      ,0      ,0      

Forward ,0      ,20     ,0      ,0      

Leftᴾ   ,0      ,0      ,20     ,0      

Rightᴾ  ,0      ,0      ,0      ,20     

        ,Backᴬ  ,Forward,Leftᴬ  ,Rightᴬ 
fnr ,0.0    ,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,1.0    

tnr ,1.0    ,1.0    ,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,1.0    

recall ,1.0    ,1.0    ,1.0    ,1.0    

f1score ,1.0    ,1.0    ,1.0    ,1.0    

accuracy ,1.0    ,1.0    ,1.0    ,1.0    

precision ,1.0    ,1.0    ,1.0    ,1.0    

j-statistic ,1.0    ,1.0    ,1.0    ,1.0    

sensitivity ,1.0    ,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,1.0    

        ,Backᴬ  ,Forward,Leftᴬ  ,Rightᴬ 
Backᴾ   ,25.00% ,0.00%  ,0.00%  ,0.00%  

Forward ,0.00%  ,25.00% ,0.00%  ,0.00%  

Leftᴾ   ,0.00%  ,0.00%  ,25.00% ,0.00%  

Rightᴾ  ,0.00%  ,0.00%  ,0.00%  ,25.00% 

        ,Backᴬ  ,Forward,Leftᴬ  ,Rightᴬ 
fnr ,0.0    ,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,1.0    

tnr ,1.0    ,1.0    ,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,1.0    

recall ,1.0    ,1.0    ,1.0    ,1.0    

f1score ,1.0    ,1.0    ,1.0    ,1.0    

accuracy ,1.0    ,1.0    ,1.0    ,1.0    

precision ,1.0    ,1.0    ,1.0    ,1.0    

j-statistic ,1.0    ,1.0    ,1.0    ,1.0    

sensitivity ,1.0    ,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,1.0    

