        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,17      ,0       ,0       ,3       

forwardᴾ ,1       ,19      ,0       ,0       

leftᴾ    ,0       ,0       ,20      ,0       

rightᴾ   ,0       ,0       ,0       ,20      

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.055555,0.0     ,0.0     ,0.130434

fpr ,0.048387,0.016393,0.0     ,0.0     

mcc ,0.864126,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,1.0     ,0.95    

ppv ,0.85    ,0.95    ,1.0     ,1.0     

tnr ,0.951612,0.983606,1.0     ,1.0     

tpr ,0.944444,1.0     ,1.0     ,0.869565

recall ,0.944444,1.0     ,1.0     ,0.869565

f1score ,0.894736,0.974358,1.0     ,0.930232

accuracy ,0.95    ,0.9875  ,1.0     ,0.9625  

precision ,0.85    ,0.95    ,1.0     ,1.0     

j-statistic ,0.896057,0.983606,1.0     ,0.869565

sensitivity ,0.944444,1.0     ,1.0     ,0.869565

specificity ,0.951612,0.983606,1.0     ,1.0     

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,21.25%  ,0.00%   ,0.00%   ,3.75%   

forwardᴾ ,1.25%   ,23.75%  ,0.00%   ,0.00%   

leftᴾ    ,0.00%   ,0.00%   ,25.00%  ,0.00%   

rightᴾ   ,0.00%   ,0.00%   ,0.00%   ,25.00%  

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.055555,0.0     ,0.0     ,0.130434

fpr ,0.048387,0.016393,0.0     ,0.0     

mcc ,0.864126,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,1.0     ,0.95    

ppv ,0.85    ,0.95    ,1.0     ,1.0     

tnr ,0.951612,0.983606,1.0     ,1.0     

tpr ,0.944444,1.0     ,1.0     ,0.869565

recall ,0.944444,1.0     ,1.0     ,0.869565

f1score ,0.894736,0.974358,1.0     ,0.930232

accuracy ,0.95    ,0.9875  ,1.0     ,0.9625  

precision ,0.85    ,0.95    ,1.0     ,1.0     

j-statistic ,0.896057,0.983606,1.0     ,0.869565

sensitivity ,0.944444,1.0     ,1.0     ,0.869565

specificity ,0.951612,0.983606,1.0     ,1.0     

