        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
backᴾ   ,20     ,0      ,0      ,0      

forward ,0      ,20     ,0      ,20     

leftᴾ   ,0      ,0      ,20     ,0      

rightᴾ  ,0      ,0      ,0      ,0      

        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
fnr ,0.0    ,0.0    ,0.0    ,1.0    

fpr ,0.0    ,0.33333,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,0.75   

ppv ,1.0    ,0.5    ,1.0    ,0.0    

tnr ,1.0    ,0.66666,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,0.0    

recall ,1.0    ,1.0    ,1.0    ,0.0    

f1score ,1.0    ,0.66666,1.0    ,0.0    

accuracy ,1.0    ,0.75   ,1.0    ,0.75   

precision ,1.0    ,0.5    ,1.0    ,0.0    

j-statistic ,1.0    ,0.66666,1.0    ,0.0    

sensitivity ,1.0    ,1.0    ,1.0    ,0.0    

specificity ,1.0    ,0.66666,1.0    ,1.0    

        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
backᴾ   ,25.00% ,0.00%  ,0.00%  ,0.00%  

forward ,0.00%  ,25.00% ,0.00%  ,25.00% 

leftᴾ   ,0.00%  ,0.00%  ,25.00% ,0.00%  

rightᴾ  ,0.00%  ,0.00%  ,0.00%  ,0.00%  

        ,backᴬ  ,forward,leftᴬ  ,rightᴬ 
fnr ,0.0    ,0.0    ,0.0    ,1.0    

fpr ,0.0    ,0.33333,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,0.75   

ppv ,1.0    ,0.5    ,1.0    ,0.0    

tnr ,1.0    ,0.66666,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,0.0    

recall ,1.0    ,1.0    ,1.0    ,0.0    

f1score ,1.0    ,0.66666,1.0    ,0.0    

accuracy ,1.0    ,0.75   ,1.0    ,0.75   

precision ,1.0    ,0.5    ,1.0    ,0.0    

j-statistic ,1.0    ,0.66666,1.0    ,0.0    

sensitivity ,1.0    ,1.0    ,1.0    ,0.0    

specificity ,1.0    ,0.66666,1.0    ,1.0    

