        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
MoveBackᴾ   ,20         ,0          ,0          ,0          

MoveForward ,0          ,20         ,0          ,0          

TurnLeftᴾ   ,0          ,0          ,20         ,0          

TurnRightᴾ  ,3          ,0          ,10         ,6          

        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
fnr ,0.130434782,0.0        ,0.333333333,0.0        

fpr ,0.0        ,0.0        ,0.0        ,0.178082191

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,0.949152542,1.0        ,0.830508474,1.0        

ppv ,1.0        ,1.0        ,1.0        ,0.315789473

tnr ,1.0        ,1.0        ,1.0        ,0.821917808

tpr ,0.869565217,1.0        ,0.666666666,1.0        

recall ,0.869565217,1.0        ,0.666666666,1.0        

f1score ,0.930232558,1.0        ,0.8        ,0.48       

accuracy ,0.962025316,1.0        ,0.873417721,0.835443037

precision ,1.0        ,1.0        ,1.0        ,0.315789473

j-statistic ,0.869565217,1.0        ,0.666666666,0.821917808

sensitivity ,0.869565217,1.0        ,0.666666666,1.0        

specificity ,1.0        ,1.0        ,1.0        ,0.821917808

        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
MoveBackᴾ   ,25.32%     ,0.00%      ,0.00%      ,0.00%      

MoveForward ,0.00%      ,25.32%     ,0.00%      ,0.00%      

TurnLeftᴾ   ,0.00%      ,0.00%      ,25.32%     ,0.00%      

TurnRightᴾ  ,3.80%      ,0.00%      ,12.66%     ,7.59%      

        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
fnr ,0.130434782,0.0        ,0.333333333,0.0        

fpr ,0.0        ,0.0        ,0.0        ,0.178082191

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,0.949152542,1.0        ,0.830508474,1.0        

ppv ,1.0        ,1.0        ,1.0        ,0.315789473

tnr ,1.0        ,1.0        ,1.0        ,0.821917808

tpr ,0.869565217,1.0        ,0.666666666,1.0        

recall ,0.869565217,1.0        ,0.666666666,1.0        

f1score ,0.930232558,1.0        ,0.8        ,0.48       

accuracy ,0.962025316,1.0        ,0.873417721,0.835443037

precision ,1.0        ,1.0        ,1.0        ,0.315789473

j-statistic ,0.869565217,1.0        ,0.666666666,0.821917808

sensitivity ,0.869565217,1.0        ,0.666666666,1.0        

specificity ,1.0        ,1.0        ,1.0        ,0.821917808

