        ,backword,forwardᴬ,leftᴬ   ,rightᴬ  
backword ,20      ,0       ,0       ,0       

forwardᴾ ,0       ,20      ,0       ,0       

leftᴾ    ,2       ,0       ,11      ,6       

rightᴾ   ,0       ,0       ,0       ,20      

        ,backword,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.090909,0.0     ,0.0     ,0.230769

fpr ,0.0     ,0.0     ,0.117647,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.966101,1.0     ,1.0     ,0.898305

ppv ,1.0     ,1.0     ,0.578947,1.0     

tnr ,1.0     ,1.0     ,0.882352,1.0     

tpr ,0.909090,1.0     ,1.0     ,0.769230

recall ,0.909090,1.0     ,1.0     ,0.769230

f1score ,0.952380,1.0     ,0.733333,0.869565

accuracy ,0.974683,1.0     ,0.898734,0.924050

precision ,1.0     ,1.0     ,0.578947,1.0     

j-statistic ,0.909090,1.0     ,0.882352,0.769230

sensitivity ,0.909090,1.0     ,1.0     ,0.769230

specificity ,1.0     ,1.0     ,0.882352,1.0     

        ,backword,forwardᴬ,leftᴬ   ,rightᴬ  
backword ,25.32%  ,0.00%   ,0.00%   ,0.00%   

forwardᴾ ,0.00%   ,25.32%  ,0.00%   ,0.00%   

leftᴾ    ,2.53%   ,0.00%   ,13.92%  ,7.59%   

rightᴾ   ,0.00%   ,0.00%   ,0.00%   ,25.32%  

        ,backword,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.090909,0.0     ,0.0     ,0.230769

fpr ,0.0     ,0.0     ,0.117647,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.966101,1.0     ,1.0     ,0.898305

ppv ,1.0     ,1.0     ,0.578947,1.0     

tnr ,1.0     ,1.0     ,0.882352,1.0     

tpr ,0.909090,1.0     ,1.0     ,0.769230

recall ,0.909090,1.0     ,1.0     ,0.769230

f1score ,0.952380,1.0     ,0.733333,0.869565

accuracy ,0.974683,1.0     ,0.898734,0.924050

precision ,1.0     ,1.0     ,0.578947,1.0     

j-statistic ,0.909090,1.0     ,0.882352,0.769230

sensitivity ,0.909090,1.0     ,1.0     ,0.769230

specificity ,1.0     ,1.0     ,0.882352,1.0     

