        ,Dernnaᴬ ,Liewkhwa,Liewsaiᴬ,Thoilang
Dernnaᴾ  ,19      ,0       ,1       ,0       

Liewkhwa ,0       ,20      ,0       ,0       

Liewsaiᴾ ,0       ,1       ,19      ,0       

Thoilang ,0       ,0       ,0       ,20      

        ,Dernnaᴬ ,Liewkhwa,Liewsaiᴬ,Thoilang
fnr ,0.0     ,0.047619,0.05    ,0.0     

fpr ,0.016393,0.0     ,0.016666,0.0     

mcc ,0.0     ,0.0     ,0.933333,0.0     

npv ,1.0     ,0.983333,0.983333,1.0     

ppv ,0.95    ,1.0     ,0.95    ,1.0     

tnr ,0.983606,1.0     ,0.983333,1.0     

tpr ,1.0     ,0.952380,0.95    ,1.0     

recall ,1.0     ,0.952380,0.95    ,1.0     

f1score ,0.974358,0.975609,0.95    ,1.0     

accuracy ,0.9875  ,0.9875  ,0.975   ,1.0     

precision ,0.95    ,1.0     ,0.95    ,1.0     

j-statistic ,0.983606,0.952380,0.933333,1.0     

sensitivity ,1.0     ,0.952380,0.95    ,1.0     

specificity ,0.983606,1.0     ,0.983333,1.0     

        ,Dernnaᴬ ,Liewkhwa,Liewsaiᴬ,Thoilang
Dernnaᴾ  ,23.75%  ,0.00%   ,1.25%   ,0.00%   

Liewkhwa ,0.00%   ,25.00%  ,0.00%   ,0.00%   

Liewsaiᴾ ,0.00%   ,1.25%   ,23.75%  ,0.00%   

Thoilang ,0.00%   ,0.00%   ,0.00%   ,25.00%  

        ,Dernnaᴬ ,Liewkhwa,Liewsaiᴬ,Thoilang
fnr ,0.0     ,0.047619,0.05    ,0.0     

fpr ,0.016393,0.0     ,0.016666,0.0     

mcc ,0.0     ,0.0     ,0.933333,0.0     

npv ,1.0     ,0.983333,0.983333,1.0     

ppv ,0.95    ,1.0     ,0.95    ,1.0     

tnr ,0.983606,1.0     ,0.983333,1.0     

tpr ,1.0     ,0.952380,0.95    ,1.0     

recall ,1.0     ,0.952380,0.95    ,1.0     

f1score ,0.974358,0.975609,0.95    ,1.0     

accuracy ,0.9875  ,0.9875  ,0.975   ,1.0     

precision ,0.95    ,1.0     ,0.95    ,1.0     

j-statistic ,0.983606,0.952380,0.933333,1.0     

sensitivity ,1.0     ,0.952380,0.95    ,1.0     

specificity ,0.983606,1.0     ,0.983333,1.0     

