        ,Leftᴬ   ,backward,forwardᴬ,rightᴬ  
Leftᴾ    ,5       ,2       ,13      ,0       

backward ,0       ,20      ,0       ,0       

forwardᴾ ,0       ,0       ,20      ,0       

rightᴾ   ,0       ,0       ,4       ,16      

        ,Leftᴬ   ,backward,forwardᴬ,rightᴬ  
fnr ,0.0     ,0.090909,0.459459,0.0     

fpr ,0.2     ,0.0     ,0.0     ,0.0625  

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,0.966666,0.716666,1.0     

ppv ,0.25    ,1.0     ,1.0     ,0.8     

tnr ,0.8     ,1.0     ,1.0     ,0.9375  

tpr ,1.0     ,0.909090,0.540540,1.0     

recall ,1.0     ,0.909090,0.540540,1.0     

f1score ,0.4     ,0.952380,0.701754,0.888888

accuracy ,0.8125  ,0.975   ,0.7875  ,0.95    

precision ,0.25    ,1.0     ,1.0     ,0.8     

j-statistic ,0.8     ,0.909090,0.540540,0.9375  

sensitivity ,1.0     ,0.909090,0.540540,1.0     

specificity ,0.8     ,1.0     ,1.0     ,0.9375  

        ,Leftᴬ   ,backward,forwardᴬ,rightᴬ  
Leftᴾ    ,6.25%   ,2.50%   ,16.25%  ,0.00%   

backward ,0.00%   ,25.00%  ,0.00%   ,0.00%   

forwardᴾ ,0.00%   ,0.00%   ,25.00%  ,0.00%   

rightᴾ   ,0.00%   ,0.00%   ,5.00%   ,20.00%  

        ,Leftᴬ   ,backward,forwardᴬ,rightᴬ  
fnr ,0.0     ,0.090909,0.459459,0.0     

fpr ,0.2     ,0.0     ,0.0     ,0.0625  

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,0.966666,0.716666,1.0     

ppv ,0.25    ,1.0     ,1.0     ,0.8     

tnr ,0.8     ,1.0     ,1.0     ,0.9375  

tpr ,1.0     ,0.909090,0.540540,1.0     

recall ,1.0     ,0.909090,0.540540,1.0     

f1score ,0.4     ,0.952380,0.701754,0.888888

accuracy ,0.8125  ,0.975   ,0.7875  ,0.95    

precision ,0.25    ,1.0     ,1.0     ,0.8     

j-statistic ,0.8     ,0.909090,0.540540,0.9375  

sensitivity ,1.0     ,0.909090,0.540540,1.0     

specificity ,0.8     ,1.0     ,1.0     ,0.9375  

