        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
Backwardᴾ ,18       ,2        ,0        ,0        

Forwardᴾ  ,0        ,20       ,0        ,0        

TurnLeftᴾ ,0        ,0        ,17       ,3        

TurnRight ,0        ,0        ,0        ,0        

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.0      ,0.0909090,0.0      ,1.0      

fpr ,0.0476190,0.0      ,0.0697674,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,0.95     ,1.0      ,0.95     

ppv ,0.9      ,1.0      ,0.85     ,0.0      

tnr ,0.9523809,1.0      ,0.9302325,1.0      

tpr ,1.0      ,0.9090909,1.0      ,0.0      

recall ,1.0      ,0.9090909,1.0      ,0.0      

f1score ,0.9473684,0.9523809,0.9189189,0.0      

accuracy ,0.9666666,0.9666666,0.95     ,0.95     

precision ,0.9      ,1.0      ,0.85     ,0.0      

j-statistic ,0.9523809,0.9090909,0.9302325,0.0      

sensitivity ,1.0      ,0.9090909,1.0      ,0.0      

specificity ,0.9523809,1.0      ,0.9302325,1.0      

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
Backwardᴾ ,30.00%   ,3.33%    ,0.00%    ,0.00%    

Forwardᴾ  ,0.00%    ,33.33%   ,0.00%    ,0.00%    

TurnLeftᴾ ,0.00%    ,0.00%    ,28.33%   ,5.00%    

TurnRight ,0.00%    ,0.00%    ,0.00%    ,0.00%    

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.0      ,0.0909090,0.0      ,1.0      

fpr ,0.0476190,0.0      ,0.0697674,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,0.95     ,1.0      ,0.95     

ppv ,0.9      ,1.0      ,0.85     ,0.0      

tnr ,0.9523809,1.0      ,0.9302325,1.0      

tpr ,1.0      ,0.9090909,1.0      ,0.0      

recall ,1.0      ,0.9090909,1.0      ,0.0      

f1score ,0.9473684,0.9523809,0.9189189,0.0      

accuracy ,0.9666666,0.9666666,0.95     ,0.95     

precision ,0.9      ,1.0      ,0.85     ,0.0      

j-statistic ,0.9523809,0.9090909,0.9302325,0.0      

sensitivity ,1.0      ,0.9090909,1.0      ,0.0      

specificity ,0.9523809,1.0      ,0.9302325,1.0      

