        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
backwardᴾ ,20       ,0        ,0        ,0        

forwardᴾ  ,0        ,20       ,0        ,0        

turnleftᴾ ,1        ,2        ,17       ,0        

turnright ,0        ,0        ,0        ,20       

        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
fnr ,0.0476190,0.0909090,0.0      ,0.0      

fpr ,0.0      ,0.0      ,0.0476190,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,0.9833333,0.9666666,1.0      ,1.0      

ppv ,1.0      ,1.0      ,0.85     ,1.0      

tnr ,1.0      ,1.0      ,0.9523809,1.0      

tpr ,0.9523809,0.9090909,1.0      ,1.0      

recall ,0.9523809,0.9090909,1.0      ,1.0      

f1score ,0.9756097,0.9523809,0.9189189,1.0      

accuracy ,0.9875   ,0.975    ,0.9625   ,1.0      

precision ,1.0      ,1.0      ,0.85     ,1.0      

j-statistic ,0.9523809,0.9090909,0.9523809,1.0      

sensitivity ,0.9523809,0.9090909,1.0      ,1.0      

specificity ,1.0      ,1.0      ,0.9523809,1.0      

        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
backwardᴾ ,25.00%   ,0.00%    ,0.00%    ,0.00%    

forwardᴾ  ,0.00%    ,25.00%   ,0.00%    ,0.00%    

turnleftᴾ ,1.25%    ,2.50%    ,21.25%   ,0.00%    

turnright ,0.00%    ,0.00%    ,0.00%    ,25.00%   

        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
fnr ,0.0476190,0.0909090,0.0      ,0.0      

fpr ,0.0      ,0.0      ,0.0476190,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,0.9833333,0.9666666,1.0      ,1.0      

ppv ,1.0      ,1.0      ,0.85     ,1.0      

tnr ,1.0      ,1.0      ,0.9523809,1.0      

tpr ,0.9523809,0.9090909,1.0      ,1.0      

recall ,0.9523809,0.9090909,1.0      ,1.0      

f1score ,0.9756097,0.9523809,0.9189189,1.0      

accuracy ,0.9875   ,0.975    ,0.9625   ,1.0      

precision ,1.0      ,1.0      ,0.85     ,1.0      

j-statistic ,0.9523809,0.9090909,0.9523809,1.0      

sensitivity ,0.9523809,0.9090909,1.0      ,1.0      

specificity ,1.0      ,1.0      ,0.9523809,1.0      

