        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,27      ,0       ,0       ,0       

forwardᴾ ,0       ,34      ,0       ,0       

leftᴾ    ,1       ,0       ,25      ,0       

rightᴾ   ,0       ,0       ,0       ,26      

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.035714,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.011363,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.988372,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,0.961538,1.0     

tnr ,1.0     ,1.0     ,0.988636,1.0     

tpr ,0.964285,1.0     ,1.0     ,1.0     

recall ,0.964285,1.0     ,1.0     ,1.0     

f1score ,0.981818,1.0     ,0.980392,1.0     

accuracy ,0.991150,1.0     ,0.991150,1.0     

precision ,1.0     ,1.0     ,0.961538,1.0     

j-statistic ,0.964285,1.0     ,0.988636,1.0     

sensitivity ,0.964285,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,0.988636,1.0     

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,23.89%  ,0.00%   ,0.00%   ,0.00%   

forwardᴾ ,0.00%   ,30.09%  ,0.00%   ,0.00%   

leftᴾ    ,0.88%   ,0.00%   ,22.12%  ,0.00%   

rightᴾ   ,0.00%   ,0.00%   ,0.00%   ,23.01%  

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.035714,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.011363,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.988372,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,0.961538,1.0     

tnr ,1.0     ,1.0     ,0.988636,1.0     

tpr ,0.964285,1.0     ,1.0     ,1.0     

recall ,0.964285,1.0     ,1.0     ,1.0     

f1score ,0.981818,1.0     ,0.980392,1.0     

accuracy ,0.991150,1.0     ,0.991150,1.0     

precision ,1.0     ,1.0     ,0.961538,1.0     

j-statistic ,0.964285,1.0     ,0.988636,1.0     

sensitivity ,0.964285,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,0.988636,1.0     

