        ,forwardᴬ  ,reverseᴬ  ,turn leftᴬ,turn right
forwardᴾ   ,17        ,0         ,0         ,3         

reverseᴾ   ,1         ,19        ,0         ,0         

turn leftᴾ ,0         ,0         ,20        ,0         

turn right ,13        ,0         ,0         ,7         

        ,forwardᴬ  ,reverseᴬ  ,turn leftᴬ,turn right
fnr ,0.45161290,0.0       ,0.0       ,0.3       

fpr ,0.06122448,0.01639344,0.0       ,0.18571428

mcc ,0.54810303,0.0       ,0.0       ,0.39279220

npv ,0.76666666,1.0       ,1.0       ,0.95      

ppv ,0.85      ,0.95      ,1.0       ,0.35      

tnr ,0.93877551,0.98360655,1.0       ,0.81428571

tpr ,0.54838709,1.0       ,1.0       ,0.7       

recall ,0.54838709,1.0       ,1.0       ,0.7       

f1score ,0.66666666,0.97435897,1.0       ,0.46666666

accuracy ,0.7875    ,0.9875    ,1.0       ,0.8       

precision ,0.85      ,0.95      ,1.0       ,0.35      

j-statistic ,0.48716260,0.98360655,1.0       ,0.51428571

sensitivity ,0.54838709,1.0       ,1.0       ,0.7       

specificity ,0.93877551,0.98360655,1.0       ,0.81428571

        ,forwardᴬ  ,reverseᴬ  ,turn leftᴬ,turn right
forwardᴾ   ,21.25%    ,0.00%     ,0.00%     ,3.75%     

reverseᴾ   ,1.25%     ,23.75%    ,0.00%     ,0.00%     

turn leftᴾ ,0.00%     ,0.00%     ,25.00%    ,0.00%     

turn right ,16.25%    ,0.00%     ,0.00%     ,8.75%     

        ,forwardᴬ  ,reverseᴬ  ,turn leftᴬ,turn right
fnr ,0.45161290,0.0       ,0.0       ,0.3       

fpr ,0.06122448,0.01639344,0.0       ,0.18571428

mcc ,0.54810303,0.0       ,0.0       ,0.39279220

npv ,0.76666666,1.0       ,1.0       ,0.95      

ppv ,0.85      ,0.95      ,1.0       ,0.35      

tnr ,0.93877551,0.98360655,1.0       ,0.81428571

tpr ,0.54838709,1.0       ,1.0       ,0.7       

recall ,0.54838709,1.0       ,1.0       ,0.7       

f1score ,0.66666666,0.97435897,1.0       ,0.46666666

accuracy ,0.7875    ,0.9875    ,1.0       ,0.8       

precision ,0.85      ,0.95      ,1.0       ,0.35      

j-statistic ,0.48716260,0.98360655,1.0       ,0.51428571

sensitivity ,0.54838709,1.0       ,1.0       ,0.7       

specificity ,0.93877551,0.98360655,1.0       ,0.81428571

