        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
backword ,24      ,0       ,0       ,0       

forwordᴾ ,0       ,25      ,0       ,0       

leftᴾ    ,0       ,0       ,23      ,2       

rightᴾ   ,0       ,0       ,0       ,25      

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
fnr ,0.0     ,0.0     ,0.0     ,0.074074

fpr ,0.0     ,0.0     ,0.026315,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,1.0     ,1.0     ,0.972972

ppv ,1.0     ,1.0     ,0.92    ,1.0     

tnr ,1.0     ,1.0     ,0.973684,1.0     

tpr ,1.0     ,1.0     ,1.0     ,0.925925

recall ,1.0     ,1.0     ,1.0     ,0.925925

f1score ,1.0     ,1.0     ,0.958333,0.961538

accuracy ,1.0     ,1.0     ,0.979797,0.979797

precision ,1.0     ,1.0     ,0.92    ,1.0     

j-statistic ,1.0     ,1.0     ,0.973684,0.925925

sensitivity ,1.0     ,1.0     ,1.0     ,0.925925

specificity ,1.0     ,1.0     ,0.973684,1.0     

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
backword ,24.24%  ,0.00%   ,0.00%   ,0.00%   

forwordᴾ ,0.00%   ,25.25%  ,0.00%   ,0.00%   

leftᴾ    ,0.00%   ,0.00%   ,23.23%  ,2.02%   

rightᴾ   ,0.00%   ,0.00%   ,0.00%   ,25.25%  

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
fnr ,0.0     ,0.0     ,0.0     ,0.074074

fpr ,0.0     ,0.0     ,0.026315,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,1.0     ,1.0     ,0.972972

ppv ,1.0     ,1.0     ,0.92    ,1.0     

tnr ,1.0     ,1.0     ,0.973684,1.0     

tpr ,1.0     ,1.0     ,1.0     ,0.925925

recall ,1.0     ,1.0     ,1.0     ,0.925925

f1score ,1.0     ,1.0     ,0.958333,0.961538

accuracy ,1.0     ,1.0     ,0.979797,0.979797

precision ,1.0     ,1.0     ,0.92    ,1.0     

j-statistic ,1.0     ,1.0     ,0.973684,0.925925

sensitivity ,1.0     ,1.0     ,1.0     ,0.925925

specificity ,1.0     ,1.0     ,0.973684,1.0     

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
backword ,20      ,0       ,0       ,0       

forwordᴾ ,0       ,20      ,0       ,0       

leftᴾ    ,0       ,0       ,20      ,0       

rightᴾ   ,0       ,0       ,0       ,20      

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
fnr ,0.0     ,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.0     ,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,1.0     ,1.0     

tnr ,1.0     ,1.0     ,1.0     ,1.0     

tpr ,1.0     ,1.0     ,1.0     ,1.0     

