        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
Backward ,20      ,0       ,0       ,0       

Forwardᴾ ,1       ,19      ,0       ,0       

Leftᴾ    ,0       ,0       ,20      ,0       

Rightᴾ   ,0       ,0       ,1       ,19      

        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
fnr ,0.047619,0.0     ,0.047619,0.0     

fpr ,0.0     ,0.016393,0.0     ,0.016393

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,0.983333,1.0     

ppv ,1.0     ,0.95    ,1.0     ,0.95    

tnr ,1.0     ,0.983606,1.0     ,0.983606

tpr ,0.952380,1.0     ,0.952380,1.0     

recall ,0.952380,1.0     ,0.952380,1.0     

f1score ,0.975609,0.974358,0.975609,0.974358

accuracy ,0.9875  ,0.9875  ,0.9875  ,0.9875  

precision ,1.0     ,0.95    ,1.0     ,0.95    

j-statistic ,0.952380,0.983606,0.952380,0.983606

sensitivity ,0.952380,1.0     ,0.952380,1.0     

specificity ,1.0     ,0.983606,1.0     ,0.983606

        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
Backward ,25.00%  ,0.00%   ,0.00%   ,0.00%   

Forwardᴾ ,1.25%   ,23.75%  ,0.00%   ,0.00%   

Leftᴾ    ,0.00%   ,0.00%   ,25.00%  ,0.00%   

Rightᴾ   ,0.00%   ,0.00%   ,1.25%   ,23.75%  

        ,Backward,Forwardᴬ,Leftᴬ   ,Rightᴬ  
fnr ,0.047619,0.0     ,0.047619,0.0     

fpr ,0.0     ,0.016393,0.0     ,0.016393

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,0.983333,1.0     

ppv ,1.0     ,0.95    ,1.0     ,0.95    

tnr ,1.0     ,0.983606,1.0     ,0.983606

tpr ,0.952380,1.0     ,0.952380,1.0     

recall ,0.952380,1.0     ,0.952380,1.0     

f1score ,0.975609,0.974358,0.975609,0.974358

accuracy ,0.9875  ,0.9875  ,0.9875  ,0.9875  

precision ,1.0     ,0.95    ,1.0     ,0.95    

j-statistic ,0.952380,0.983606,0.952380,0.983606

sensitivity ,0.952380,1.0     ,0.952380,1.0     

specificity ,1.0     ,0.983606,1.0     ,0.983606

