        ,DERNNAᴬ  ,LEAWKHWAᴬ,LEAWSAAYᴬ,THOYLHANG
DERNNAᴾ   ,20       ,0        ,0        ,0        

LEAWKHWAᴾ ,0        ,20       ,0        ,0        

LEAWSAAYᴾ ,0        ,0        ,20       ,0        

THOYLHANG ,0        ,0        ,0        ,20       

        ,DERNNAᴬ  ,LEAWKHWAᴬ,LEAWSAAYᴬ,THOYLHANG
fnr ,0.0      ,0.0      ,0.0      ,0.0      

fpr ,0.0      ,0.0      ,0.0      ,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,1.0      ,1.0      ,1.0      

ppv ,1.0      ,1.0      ,1.0      ,1.0      

tnr ,1.0      ,1.0      ,1.0      ,1.0      

tpr ,1.0      ,1.0      ,1.0      ,1.0      

recall ,1.0      ,1.0      ,1.0      ,1.0      

f1score ,1.0      ,1.0      ,1.0      ,1.0      

accuracy ,1.0      ,1.0      ,1.0      ,1.0      

precision ,1.0      ,1.0      ,1.0      ,1.0      

j-statistic ,1.0      ,1.0      ,1.0      ,1.0      

sensitivity ,1.0      ,1.0      ,1.0      ,1.0      

specificity ,1.0      ,1.0      ,1.0      ,1.0      

        ,DERNNAᴬ  ,LEAWKHWAᴬ,LEAWSAAYᴬ,THOYLHANG
DERNNAᴾ   ,25.00%   ,0.00%    ,0.00%    ,0.00%    

LEAWKHWAᴾ ,0.00%    ,25.00%   ,0.00%    ,0.00%    

LEAWSAAYᴾ ,0.00%    ,0.00%    ,25.00%   ,0.00%    

THOYLHANG ,0.00%    ,0.00%    ,0.00%    ,25.00%   

        ,DERNNAᴬ  ,LEAWKHWAᴬ,LEAWSAAYᴬ,THOYLHANG
fnr ,0.0      ,0.0      ,0.0      ,0.0      

fpr ,0.0      ,0.0      ,0.0      ,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,1.0      ,1.0      ,1.0      

ppv ,1.0      ,1.0      ,1.0      ,1.0      

tnr ,1.0      ,1.0      ,1.0      ,1.0      

tpr ,1.0      ,1.0      ,1.0      ,1.0      

recall ,1.0      ,1.0      ,1.0      ,1.0      

f1score ,1.0      ,1.0      ,1.0      ,1.0      

accuracy ,1.0      ,1.0      ,1.0      ,1.0      

precision ,1.0      ,1.0      ,1.0      ,1.0      

j-statistic ,1.0      ,1.0      ,1.0      ,1.0      

sensitivity ,1.0      ,1.0      ,1.0      ,1.0      

specificity ,1.0      ,1.0      ,1.0      ,1.0      

