        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,20      ,0       ,0       ,0       

forwardᴾ ,0       ,20      ,0       ,0       

leftᴾ    ,0       ,0       ,20      ,0       

rightᴾ   ,1       ,0       ,0       ,19      

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.047619,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.0     ,0.016393

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,1.0     ,0.95    

tnr ,1.0     ,1.0     ,1.0     ,0.983606

tpr ,0.952380,1.0     ,1.0     ,1.0     

recall ,0.952380,1.0     ,1.0     ,1.0     

f1score ,0.975609,1.0     ,1.0     ,0.974358

accuracy ,0.9875  ,1.0     ,1.0     ,0.9875  

precision ,1.0     ,1.0     ,1.0     ,0.95    

j-statistic ,0.952380,1.0     ,1.0     ,0.983606

sensitivity ,0.952380,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,1.0     ,0.983606

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
backward ,25.00%  ,0.00%   ,0.00%   ,0.00%   

forwardᴾ ,0.00%   ,25.00%  ,0.00%   ,0.00%   

leftᴾ    ,0.00%   ,0.00%   ,25.00%  ,0.00%   

rightᴾ   ,1.25%   ,0.00%   ,0.00%   ,23.75%  

        ,backward,forwardᴬ,leftᴬ   ,rightᴬ  
fnr ,0.047619,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.0     ,0.016393

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,0.983333,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,1.0     ,0.95    

tnr ,1.0     ,1.0     ,1.0     ,0.983606

tpr ,0.952380,1.0     ,1.0     ,1.0     

recall ,0.952380,1.0     ,1.0     ,1.0     

f1score ,0.975609,1.0     ,1.0     ,0.974358

accuracy ,0.9875  ,1.0     ,1.0     ,0.9875  

precision ,1.0     ,1.0     ,1.0     ,0.95    

j-statistic ,0.952380,1.0     ,1.0     ,0.983606

sensitivity ,0.952380,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,1.0     ,0.983606

