        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
backwardᴾ ,19       ,0        ,0        ,0        

forwardᴾ  ,0        ,18       ,2        ,0        

turnleftᴾ ,1        ,0        ,19       ,0        

turnright ,0        ,0        ,0        ,20       

        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
fnr ,0.05     ,0.0      ,0.0952380,0.0      

fpr ,0.0      ,0.0327868,0.0172413,0.0      

mcc ,0.0      ,0.0      ,0.9016978,0.0      

npv ,0.9833333,1.0      ,0.9661016,1.0      

ppv ,1.0      ,0.9      ,0.95     ,1.0      

tnr ,1.0      ,0.9672131,0.9827586,1.0      

tpr ,0.95     ,1.0      ,0.9047619,1.0      

recall ,0.95     ,1.0      ,0.9047619,1.0      

f1score ,0.9743589,0.9473684,0.9268292,1.0      

accuracy ,0.9873417,0.9746835,0.9620253,1.0      

precision ,1.0      ,0.9      ,0.95     ,1.0      

j-statistic ,0.95     ,0.9672131,0.8875205,1.0      

sensitivity ,0.95     ,1.0      ,0.9047619,1.0      

specificity ,1.0      ,0.9672131,0.9827586,1.0      

        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
backwardᴾ ,24.05%   ,0.00%    ,0.00%    ,0.00%    

forwardᴾ  ,0.00%    ,22.78%   ,2.53%    ,0.00%    

turnleftᴾ ,1.27%    ,0.00%    ,24.05%   ,0.00%    

turnright ,0.00%    ,0.00%    ,0.00%    ,25.32%   

        ,backwardᴬ,forwardᴬ ,turnleftᴬ,turnright
fnr ,0.05     ,0.0      ,0.0952380,0.0      

fpr ,0.0      ,0.0327868,0.0172413,0.0      

mcc ,0.0      ,0.0      ,0.9016978,0.0      

npv ,0.9833333,1.0      ,0.9661016,1.0      

ppv ,1.0      ,0.9      ,0.95     ,1.0      

tnr ,1.0      ,0.9672131,0.9827586,1.0      

tpr ,0.95     ,1.0      ,0.9047619,1.0      

recall ,0.95     ,1.0      ,0.9047619,1.0      

f1score ,0.9743589,0.9473684,0.9268292,1.0      

accuracy ,0.9873417,0.9746835,0.9620253,1.0      

precision ,1.0      ,0.9      ,0.95     ,1.0      

j-statistic ,0.95     ,0.9672131,0.8875205,1.0      

sensitivity ,0.95     ,1.0      ,0.9047619,1.0      

specificity ,1.0      ,0.9672131,0.9827586,1.0      

