        ,gobackᴬ,gofront,leftᴬ  ,rightᴬ 
gobackᴾ ,20     ,0      ,0      ,0      

gofront ,1      ,16     ,3      ,0      

leftᴾ   ,0      ,0      ,20     ,0      

rightᴾ  ,0      ,0      ,0      ,20     

        ,gobackᴬ,gofront,leftᴬ  ,rightᴬ 
fnr ,0.04761,0.0    ,0.13043,0.0    

fpr ,0.0    ,0.0625 ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,0.98333,1.0    ,0.95   ,1.0    

ppv ,1.0    ,0.8    ,1.0    ,1.0    

tnr ,1.0    ,0.9375 ,1.0    ,1.0    

tpr ,0.95238,1.0    ,0.86956,1.0    

recall ,0.95238,1.0    ,0.86956,1.0    

f1score ,0.97560,0.88888,0.93023,1.0    

accuracy ,0.9875 ,0.95   ,0.9625 ,1.0    

precision ,1.0    ,0.8    ,1.0    ,1.0    

j-statistic ,0.95238,0.9375 ,0.86956,1.0    

sensitivity ,0.95238,1.0    ,0.86956,1.0    

specificity ,1.0    ,0.9375 ,1.0    ,1.0    

        ,gobackᴬ,gofront,leftᴬ  ,rightᴬ 
gobackᴾ ,25.00% ,0.00%  ,0.00%  ,0.00%  

gofront ,1.25%  ,20.00% ,3.75%  ,0.00%  

leftᴾ   ,0.00%  ,0.00%  ,25.00% ,0.00%  

rightᴾ  ,0.00%  ,0.00%  ,0.00%  ,25.00% 

        ,gobackᴬ,gofront,leftᴬ  ,rightᴬ 
fnr ,0.04761,0.0    ,0.13043,0.0    

fpr ,0.0    ,0.0625 ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,0.98333,1.0    ,0.95   ,1.0    

ppv ,1.0    ,0.8    ,1.0    ,1.0    

tnr ,1.0    ,0.9375 ,1.0    ,1.0    

tpr ,0.95238,1.0    ,0.86956,1.0    

recall ,0.95238,1.0    ,0.86956,1.0    

f1score ,0.97560,0.88888,0.93023,1.0    

accuracy ,0.9875 ,0.95   ,0.9625 ,1.0    

precision ,1.0    ,0.8    ,1.0    ,1.0    

j-statistic ,0.95238,0.9375 ,0.86956,1.0    

sensitivity ,0.95238,1.0    ,0.86956,1.0    

specificity ,1.0    ,0.9375 ,1.0    ,1.0    

