        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
backword ,20      ,0       ,0       ,0       

forwordᴾ ,0       ,20      ,0       ,0       

leftᴾ    ,0       ,0       ,20      ,0       

rightᴾ   ,0       ,0       ,0       ,20      

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
fnr ,0.0     ,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.0     ,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,1.0     ,1.0     

tnr ,1.0     ,1.0     ,1.0     ,1.0     

tpr ,1.0     ,1.0     ,1.0     ,1.0     

recall ,1.0     ,1.0     ,1.0     ,1.0     

f1score ,1.0     ,1.0     ,1.0     ,1.0     

accuracy ,1.0     ,1.0     ,1.0     ,1.0     

precision ,1.0     ,1.0     ,1.0     ,1.0     

j-statistic ,1.0     ,1.0     ,1.0     ,1.0     

sensitivity ,1.0     ,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,1.0     ,1.0     

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
backword ,25.00%  ,0.00%   ,0.00%   ,0.00%   

forwordᴾ ,0.00%   ,25.00%  ,0.00%   ,0.00%   

leftᴾ    ,0.00%   ,0.00%   ,25.00%  ,0.00%   

rightᴾ   ,0.00%   ,0.00%   ,0.00%   ,25.00%  

        ,backword,forwordᴬ,leftᴬ   ,rightᴬ  
fnr ,0.0     ,0.0     ,0.0     ,0.0     

fpr ,0.0     ,0.0     ,0.0     ,0.0     

mcc ,0.0     ,0.0     ,0.0     ,0.0     

npv ,1.0     ,1.0     ,1.0     ,1.0     

ppv ,1.0     ,1.0     ,1.0     ,1.0     

tnr ,1.0     ,1.0     ,1.0     ,1.0     

tpr ,1.0     ,1.0     ,1.0     ,1.0     

recall ,1.0     ,1.0     ,1.0     ,1.0     

f1score ,1.0     ,1.0     ,1.0     ,1.0     

accuracy ,1.0     ,1.0     ,1.0     ,1.0     

precision ,1.0     ,1.0     ,1.0     ,1.0     

j-statistic ,1.0     ,1.0     ,1.0     ,1.0     

sensitivity ,1.0     ,1.0     ,1.0     ,1.0     

specificity ,1.0     ,1.0     ,1.0     ,1.0     

