        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
Backwardᴾ ,20       ,0        ,0        ,0        

Forwardᴾ  ,0        ,19       ,0        ,1        

TurnLeftᴾ ,6        ,3        ,8        ,3        

TurnRight ,0        ,0        ,0        ,20       

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.2307692,0.1363636,0.0      ,0.1666666

fpr ,0.0      ,0.0172413,0.1666666,0.0      

mcc ,0.0      ,0.8727860,0.0      ,0.0      

npv ,0.9      ,0.95     ,1.0      ,0.9333333

ppv ,1.0      ,0.95     ,0.4      ,1.0      

tnr ,1.0      ,0.9827586,0.8333333,1.0      

tpr ,0.7692307,0.8636363,1.0      ,0.8333333

recall ,0.7692307,0.8636363,1.0      ,0.8333333

f1score ,0.8695652,0.9047619,0.5714285,0.9090909

accuracy ,0.925    ,0.95     ,0.85     ,0.95     

precision ,1.0      ,0.95     ,0.4      ,1.0      

j-statistic ,0.7692307,0.8463949,0.8333333,0.8333333

sensitivity ,0.7692307,0.8636363,1.0      ,0.8333333

specificity ,1.0      ,0.9827586,0.8333333,1.0      

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
Backwardᴾ ,25.00%   ,0.00%    ,0.00%    ,0.00%    

Forwardᴾ  ,0.00%    ,23.75%   ,0.00%    ,1.25%    

TurnLeftᴾ ,7.50%    ,3.75%    ,10.00%   ,3.75%    

TurnRight ,0.00%    ,0.00%    ,0.00%    ,25.00%   

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.2307692,0.1363636,0.0      ,0.1666666

fpr ,0.0      ,0.0172413,0.1666666,0.0      

mcc ,0.0      ,0.8727860,0.0      ,0.0      

npv ,0.9      ,0.95     ,1.0      ,0.9333333

ppv ,1.0      ,0.95     ,0.4      ,1.0      

tnr ,1.0      ,0.9827586,0.8333333,1.0      

tpr ,0.7692307,0.8636363,1.0      ,0.8333333

recall ,0.7692307,0.8636363,1.0      ,0.8333333

f1score ,0.8695652,0.9047619,0.5714285,0.9090909

accuracy ,0.925    ,0.95     ,0.85     ,0.95     

precision ,1.0      ,0.95     ,0.4      ,1.0      

j-statistic ,0.7692307,0.8463949,0.8333333,0.8333333

sensitivity ,0.7692307,0.8636363,1.0      ,0.8333333

specificity ,1.0      ,0.9827586,0.8333333,1.0      

