        ,BWᴬ    ,FWᴬ    ,TLᴬ    ,TRᴬ    
BWᴾ     ,16     ,0      ,0      ,0      

FWᴾ     ,1      ,19     ,0      ,0      

TLᴾ     ,0      ,1      ,20     ,0      

TRᴾ     ,3      ,0      ,0      ,20     

        ,BWᴬ    ,FWᴬ    ,TLᴬ    ,TRᴬ    
fnr ,0.2    ,0.05   ,0.0    ,0.0    

fpr ,0.0    ,0.01666,0.01666,0.05   

mcc ,0.0    ,0.93333,0.0    ,0.0    

npv ,0.9375 ,0.98333,1.0    ,1.0    

ppv ,1.0    ,0.95   ,0.95238,0.86956

tnr ,1.0    ,0.98333,0.98333,0.95   

tpr ,0.8    ,0.95   ,1.0    ,1.0    

recall ,0.8    ,0.95   ,1.0    ,1.0    

f1score ,0.88888,0.95   ,0.97560,0.93023

accuracy ,0.95   ,0.975  ,0.9875 ,0.9625 

precision ,1.0    ,0.95   ,0.95238,0.86956

j-statistic ,0.8    ,0.93333,0.98333,0.95   

sensitivity ,0.8    ,0.95   ,1.0    ,1.0    

specificity ,1.0    ,0.98333,0.98333,0.95   

        ,BWᴬ    ,FWᴬ    ,TLᴬ    ,TRᴬ    
BWᴾ     ,20.00% ,0.00%  ,0.00%  ,0.00%  

FWᴾ     ,1.25%  ,23.75% ,0.00%  ,0.00%  

TLᴾ     ,0.00%  ,1.25%  ,25.00% ,0.00%  

TRᴾ     ,3.75%  ,0.00%  ,0.00%  ,25.00% 

        ,BWᴬ    ,FWᴬ    ,TLᴬ    ,TRᴬ    
fnr ,0.2    ,0.05   ,0.0    ,0.0    

fpr ,0.0    ,0.01666,0.01666,0.05   

mcc ,0.0    ,0.93333,0.0    ,0.0    

npv ,0.9375 ,0.98333,1.0    ,1.0    

ppv ,1.0    ,0.95   ,0.95238,0.86956

tnr ,1.0    ,0.98333,0.98333,0.95   

tpr ,0.8    ,0.95   ,1.0    ,1.0    

recall ,0.8    ,0.95   ,1.0    ,1.0    

f1score ,0.88888,0.95   ,0.97560,0.93023

accuracy ,0.95   ,0.975  ,0.9875 ,0.9625 

precision ,1.0    ,0.95   ,0.95238,0.86956

j-statistic ,0.8    ,0.93333,0.98333,0.95   

sensitivity ,0.8    ,0.95   ,1.0    ,1.0    

specificity ,1.0    ,0.98333,0.98333,0.95   

