        ,BacWᴬ  ,ForWᴬ  ,TurnLᴬ ,TurnRᴬ 
BacWᴾ   ,20     ,0      ,0      ,0      

ForWᴾ   ,0      ,20     ,0      ,0      

TurnLᴾ  ,0      ,0      ,20     ,0      

TurnRᴾ  ,0      ,0      ,0      ,20     

        ,BacWᴬ  ,ForWᴬ  ,TurnLᴬ ,TurnRᴬ 
fnr ,0.0    ,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,1.0    

tnr ,1.0    ,1.0    ,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,1.0    

recall ,1.0    ,1.0    ,1.0    ,1.0    

f1score ,1.0    ,1.0    ,1.0    ,1.0    

accuracy ,1.0    ,1.0    ,1.0    ,1.0    

precision ,1.0    ,1.0    ,1.0    ,1.0    

j-statistic ,1.0    ,1.0    ,1.0    ,1.0    

sensitivity ,1.0    ,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,1.0    

        ,BacWᴬ  ,ForWᴬ  ,TurnLᴬ ,TurnRᴬ 
BacWᴾ   ,25.00% ,0.00%  ,0.00%  ,0.00%  

ForWᴾ   ,0.00%  ,25.00% ,0.00%  ,0.00%  

TurnLᴾ  ,0.00%  ,0.00%  ,25.00% ,0.00%  

TurnRᴾ  ,0.00%  ,0.00%  ,0.00%  ,25.00% 

        ,BacWᴬ  ,ForWᴬ  ,TurnLᴬ ,TurnRᴬ 
fnr ,0.0    ,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,1.0    

tnr ,1.0    ,1.0    ,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,1.0    

recall ,1.0    ,1.0    ,1.0    ,1.0    

f1score ,1.0    ,1.0    ,1.0    ,1.0    

accuracy ,1.0    ,1.0    ,1.0    ,1.0    

precision ,1.0    ,1.0    ,1.0    ,1.0    

j-statistic ,1.0    ,1.0    ,1.0    ,1.0    

sensitivity ,1.0    ,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,1.0    

