        ,Backwardᴬ ,Forwardᴬ  ,Turn_Leftᴬ,Turn_Right
Backwardᴾ  ,17        ,0         ,2         ,1         

Forwardᴾ   ,0         ,20        ,0         ,0         

Turn_Leftᴾ ,12        ,0         ,8         ,0         

Turn_Right ,8         ,0         ,2         ,10        

        ,Backwardᴬ ,Forwardᴬ  ,Turn_Leftᴬ,Turn_Right
fnr ,0.54054054,0.0       ,0.33333333,0.09090909

fpr ,0.06976744,0.0       ,0.17647058,0.14492753

mcc ,0.44871023,0.0       ,0.40422604,0.60773812

npv ,0.66666666,1.0       ,0.93333333,0.98333333

ppv ,0.85      ,1.0       ,0.4       ,0.5       

tnr ,0.93023255,1.0       ,0.82352941,0.85507246

tpr ,0.45945945,1.0       ,0.66666666,0.90909090

recall ,0.45945945,1.0       ,0.66666666,0.90909090

f1score ,0.59649122,1.0       ,0.5       ,0.64516129

accuracy ,0.7125    ,1.0       ,0.8       ,0.8625    

precision ,0.85      ,1.0       ,0.4       ,0.5       

j-statistic ,0.38969201,1.0       ,0.49019607,0.76416337

sensitivity ,0.45945945,1.0       ,0.66666666,0.90909090

specificity ,0.93023255,1.0       ,0.82352941,0.85507246

        ,Backwardᴬ ,Forwardᴬ  ,Turn_Leftᴬ,Turn_Right
Backwardᴾ  ,21.25%    ,0.00%     ,2.50%     ,1.25%     

Forwardᴾ   ,0.00%     ,25.00%    ,0.00%     ,0.00%     

Turn_Leftᴾ ,15.00%    ,0.00%     ,10.00%    ,0.00%     

Turn_Right ,10.00%    ,0.00%     ,2.50%     ,12.50%    

        ,Backwardᴬ ,Forwardᴬ  ,Turn_Leftᴬ,Turn_Right
fnr ,0.54054054,0.0       ,0.33333333,0.09090909

fpr ,0.06976744,0.0       ,0.17647058,0.14492753

mcc ,0.44871023,0.0       ,0.40422604,0.60773812

npv ,0.66666666,1.0       ,0.93333333,0.98333333

ppv ,0.85      ,1.0       ,0.4       ,0.5       

tnr ,0.93023255,1.0       ,0.82352941,0.85507246

tpr ,0.45945945,1.0       ,0.66666666,0.90909090

recall ,0.45945945,1.0       ,0.66666666,0.90909090

f1score ,0.59649122,1.0       ,0.5       ,0.64516129

accuracy ,0.7125    ,1.0       ,0.8       ,0.8625    

precision ,0.85      ,1.0       ,0.4       ,0.5       

j-statistic ,0.38969201,1.0       ,0.49019607,0.76416337

sensitivity ,0.45945945,1.0       ,0.66666666,0.90909090

specificity ,0.93023255,1.0       ,0.82352941,0.85507246

