        , reverseᴬ,Turnleftᴬ,Turnright,forwardᴬ 
 reverseᴾ ,20       ,0        ,0        ,0        

Turnleftᴾ ,0        ,20       ,0        ,0        

Turnright ,1        ,0        ,19       ,0        

forwardᴾ  ,0        ,0        ,1        ,19       

        , reverseᴬ,Turnleftᴬ,Turnright,forwardᴬ 
fnr ,0.0476190,0.0      ,0.05     ,0.0      

fpr ,0.0      ,0.0      ,0.0166666,0.0163934

mcc ,0.0      ,0.0      ,0.9333333,0.0      

npv ,0.9833333,1.0      ,0.9833333,1.0      

ppv ,1.0      ,1.0      ,0.95     ,0.95     

tnr ,1.0      ,1.0      ,0.9833333,0.9836065

tpr ,0.9523809,1.0      ,0.95     ,1.0      

recall ,0.9523809,1.0      ,0.95     ,1.0      

f1score ,0.9756097,1.0      ,0.95     ,0.9743589

accuracy ,0.9875   ,1.0      ,0.975    ,0.9875   

precision ,1.0      ,1.0      ,0.95     ,0.95     

j-statistic ,0.9523809,1.0      ,0.9333333,0.9836065

sensitivity ,0.9523809,1.0      ,0.95     ,1.0      

specificity ,1.0      ,1.0      ,0.9833333,0.9836065

        , reverseᴬ,Turnleftᴬ,Turnright,forwardᴬ 
 reverseᴾ ,25.00%   ,0.00%    ,0.00%    ,0.00%    

Turnleftᴾ ,0.00%    ,25.00%   ,0.00%    ,0.00%    

Turnright ,1.25%    ,0.00%    ,23.75%   ,0.00%    

forwardᴾ  ,0.00%    ,0.00%    ,1.25%    ,23.75%   

        , reverseᴬ,Turnleftᴬ,Turnright,forwardᴬ 
fnr ,0.0476190,0.0      ,0.05     ,0.0      

fpr ,0.0      ,0.0      ,0.0166666,0.0163934

mcc ,0.0      ,0.0      ,0.9333333,0.0      

npv ,0.9833333,1.0      ,0.9833333,1.0      

ppv ,1.0      ,1.0      ,0.95     ,0.95     

tnr ,1.0      ,1.0      ,0.9833333,0.9836065

tpr ,0.9523809,1.0      ,0.95     ,1.0      

recall ,0.9523809,1.0      ,0.95     ,1.0      

f1score ,0.9756097,1.0      ,0.95     ,0.9743589

accuracy ,0.9875   ,1.0      ,0.975    ,0.9875   

precision ,1.0      ,1.0      ,0.95     ,0.95     

j-statistic ,0.9523809,1.0      ,0.9333333,0.9836065

sensitivity ,0.9523809,1.0      ,0.95     ,1.0      

specificity ,1.0      ,1.0      ,0.9833333,0.9836065

