        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
Backwardᴾ ,7        ,0        ,0        ,13       

Forwardᴾ  ,0        ,20       ,0        ,0        

TurnLeftᴾ ,0        ,0        ,17       ,0        

TurnRight ,0        ,0        ,0        ,14       

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.0      ,0.0      ,0.0      ,0.4814814

fpr ,0.203125 ,0.0      ,0.0      ,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,1.0      ,1.0      ,0.7719298

ppv ,0.35     ,1.0      ,1.0      ,1.0      

tnr ,0.796875 ,1.0      ,1.0      ,1.0      

tpr ,1.0      ,1.0      ,1.0      ,0.5185185

recall ,1.0      ,1.0      ,1.0      ,0.5185185

f1score ,0.5185185,1.0      ,1.0      ,0.6829268

accuracy ,0.8169014,1.0      ,1.0      ,0.8169014

precision ,0.35     ,1.0      ,1.0      ,1.0      

j-statistic ,0.796875 ,1.0      ,1.0      ,0.5185185

sensitivity ,1.0      ,1.0      ,1.0      ,0.5185185

specificity ,0.796875 ,1.0      ,1.0      ,1.0      

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
Backwardᴾ ,9.86%    ,0.00%    ,0.00%    ,18.31%   

Forwardᴾ  ,0.00%    ,28.17%   ,0.00%    ,0.00%    

TurnLeftᴾ ,0.00%    ,0.00%    ,23.94%   ,0.00%    

TurnRight ,0.00%    ,0.00%    ,0.00%    ,19.72%   

        ,Backwardᴬ,Forwardᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.0      ,0.0      ,0.0      ,0.4814814

fpr ,0.203125 ,0.0      ,0.0      ,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,1.0      ,1.0      ,0.7719298

ppv ,0.35     ,1.0      ,1.0      ,1.0      

tnr ,0.796875 ,1.0      ,1.0      ,1.0      

tpr ,1.0      ,1.0      ,1.0      ,0.5185185

recall ,1.0      ,1.0      ,1.0      ,0.5185185

f1score ,0.5185185,1.0      ,1.0      ,0.6829268

accuracy ,0.8169014,1.0      ,1.0      ,0.8169014

precision ,0.35     ,1.0      ,1.0      ,1.0      

j-statistic ,0.796875 ,1.0      ,1.0      ,0.5185185

sensitivity ,1.0      ,1.0      ,1.0      ,0.5185185

specificity ,0.796875 ,1.0      ,1.0      ,1.0      

