        ,LEFTᴬ   ,REVERSEᴬ,RIGHTᴬ  ,STRAIGHT
LEFTᴾ    ,17      ,2       ,1       ,0       

REVERSEᴾ ,0       ,19      ,1       ,0       

RIGHTᴾ   ,1       ,6       ,9       ,0       

STRAIGHT ,0       ,0       ,0       ,20      

        ,LEFTᴬ   ,REVERSEᴬ,RIGHTᴬ  ,STRAIGHT
fnr ,0.055555,0.296296,0.181818,0.0     

fpr ,0.051724,0.020408,0.107692,0.0     

mcc ,0.861899,0.742641,0.613161,0.0     

npv ,0.982142,0.857142,0.966666,1.0     

ppv ,0.85    ,0.95    ,0.5625  ,1.0     

tnr ,0.948275,0.979591,0.892307,1.0     

tpr ,0.944444,0.703703,0.818181,1.0     

recall ,0.944444,0.703703,0.818181,1.0     

f1score ,0.894736,0.808510,0.666666,1.0     

accuracy ,0.947368,0.881578,0.881578,1.0     

precision ,0.85    ,0.95    ,0.5625  ,1.0     

j-statistic ,0.892720,0.683295,0.710489,1.0     

sensitivity ,0.944444,0.703703,0.818181,1.0     

specificity ,0.948275,0.979591,0.892307,1.0     

        ,LEFTᴬ   ,REVERSEᴬ,RIGHTᴬ  ,STRAIGHT
LEFTᴾ    ,22.37%  ,2.63%   ,1.32%   ,0.00%   

REVERSEᴾ ,0.00%   ,25.00%  ,1.32%   ,0.00%   

RIGHTᴾ   ,1.32%   ,7.89%   ,11.84%  ,0.00%   

STRAIGHT ,0.00%   ,0.00%   ,0.00%   ,26.32%  

        ,LEFTᴬ   ,REVERSEᴬ,RIGHTᴬ  ,STRAIGHT
fnr ,0.055555,0.296296,0.181818,0.0     

fpr ,0.051724,0.020408,0.107692,0.0     

mcc ,0.861899,0.742641,0.613161,0.0     

npv ,0.982142,0.857142,0.966666,1.0     

ppv ,0.85    ,0.95    ,0.5625  ,1.0     

tnr ,0.948275,0.979591,0.892307,1.0     

tpr ,0.944444,0.703703,0.818181,1.0     

recall ,0.944444,0.703703,0.818181,1.0     

f1score ,0.894736,0.808510,0.666666,1.0     

accuracy ,0.947368,0.881578,0.881578,1.0     

precision ,0.85    ,0.95    ,0.5625  ,1.0     

j-statistic ,0.892720,0.683295,0.710489,1.0     

sensitivity ,0.944444,0.703703,0.818181,1.0     

specificity ,0.948275,0.979591,0.892307,1.0     

